No,year,month,day,hour,Temperature
428,2019,4,18,21,18.2152
429,2019,4,18,22,17.1915
430,2019,4,18,23,16.2043
431,2019,4,19,0,15.6398
432,2019,4,19,1,14.9888
433,2019,4,19,2,14.4363
434,2019,4,19,3,13.9783
435,2019,4,19,4,13.3455
436,2019,4,19,5,12.9048
437,2019,4,19,6,13.0913
438,2019,4,19,7,12.9668
439,2019,4,19,8,13.404
440,2019,4,19,9,14.4145
441,2019,4,19,10,15.9813
442,2019,4,19,11,17.8643
443,2019,4,19,12,18.3477
444,2019,4,19,13,18.1587
445,2019,4,19,14,18.5792
446,2019,4,19,15,18.7262
447,2019,4,19,16,17.5778
448,2019,4,19,17,18.1013
449,2019,4,19,18,17.8488
450,2019,4,19,19,16.6507
451,2019,4,19,20,15.4707
452,2019,4,19,21,14.3415
453,2019,4,19,22,13.9483
454,2019,4,19,23,14.0635
455,2019,4,20,0,14.241
456,2019,4,20,1,13.9763
457,2019,4,20,2,13.647
458,2019,4,20,3,13.1982
459,2019,4,20,4,12.1925
460,2019,4,20,5,11.4228
461,2019,4,20,6,10.9863
462,2019,4,20,7,11.6095
463,2019,4,20,8,13.725
464,2019,4,20,9,15.4328
465,2019,4,20,10,17.2343
466,2019,4,20,11,18.1398
467,2019,4,20,12,18.9983
468,2019,4,20,13,20.02
469,2019,4,20,14,20.9313
470,2019,4,20,15,21.6162
471,2019,4,20,16,22.2038
472,2019,4,20,17,22.4423
473,2019,4,20,18,21.88
474,2019,4,20,19,19.814
475,2019,4,20,20,18.0947
476,2019,4,20,21,17.2042
477,2019,4,20,22,15.7263
478,2019,4,20,23,14.5552
479,2019,4,21,0,13.9352
480,2019,4,21,1,13.7468
481,2019,4,21,2,13.345
482,2019,4,21,3,12.9397
483,2019,4,21,4,12.2067
484,2019,4,21,5,11.5918
485,2019,4,21,6,11.3813
486,2019,4,21,7,14.3543
487,2019,4,21,8,18.2042
488,2019,4,21,9,20.2137
489,2019,4,21,10,21.7118
490,2019,4,21,11,22.8728
491,2019,4,21,12,23.4648
492,2019,4,21,13,23.5995
493,2019,4,21,14,23.7747
494,2019,4,21,15,23.7022
495,2019,4,21,16,23.3758
496,2019,4,21,17,22.8202
497,2019,4,21,18,22.0123
498,2019,4,21,19,20.3593
499,2019,4,21,20,18.6582
500,2019,4,21,21,17.5887
501,2019,4,21,22,16.7898
502,2019,4,21,23,16.4483
503,2019,4,22,0,16.1605
504,2019,4,22,1,15.7045
505,2019,4,22,2,14.273
506,2019,4,22,3,14.1975
507,2019,4,22,4,14.4975
508,2019,4,22,5,14.3832
509,2019,4,22,6,14.5835
510,2019,4,22,7,15.5113
511,2019,4,22,8,17.9808
512,2019,4,22,9,20.4913
513,2019,4,22,10,21.77
514,2019,4,22,11,22.6223
515,2019,4,22,12,23.4663
516,2019,4,22,13,24.3803
517,2019,4,22,14,24.8063
518,2019,4,22,15,24.6067
519,2019,4,22,16,24.3987
520,2019,4,22,17,24.1903
521,2019,4,22,18,23.3325
522,2019,4,22,19,21.6515
523,2019,4,22,20,20.4185
524,2019,4,22,21,19.4055
525,2019,4,22,22,19.024
526,2019,4,22,23,18.8703
527,2019,4,23,0,19.0277
528,2019,4,23,1,18.741
529,2019,4,23,2,18.3945
530,2019,4,23,3,18.1427
531,2019,4,23,4,18.0283
532,2019,4,23,5,18.1072
533,2019,4,23,6,17.8548
534,2019,4,23,7,18.3302
535,2019,4,23,8,19.3698
536,2019,4,23,9,21.2462
537,2019,4,23,10,23.1748
538,2019,4,23,11,24.1875
539,2019,4,23,12,24.5867
540,2019,4,23,13,25.1367
541,2019,4,23,14,24.6757
542,2019,4,23,15,23.8768
543,2019,4,23,16,23.083
544,2019,4,23,17,22.8108
545,2019,4,23,18,22.5132
546,2019,4,23,19,21.6815
547,2019,4,23,20,20.8592
548,2019,4,23,21,19.9652
549,2019,4,23,22,19.575
550,2019,4,23,23,19.4205
551,2019,4,24,0,19.4405
552,2019,4,24,1,19.4828
553,2019,4,24,2,19.2103
554,2019,4,24,3,19.2167
555,2019,4,24,4,18.9482
556,2019,4,24,5,19.1812
557,2019,4,24,6,19.204
558,2019,4,24,7,19.5977
559,2019,4,24,8,21.0305
560,2019,4,24,9,22.0008
561,2019,4,24,10,23.4925
562,2019,4,24,11,24.9702
563,2019,4,24,12,26.1723
564,2019,4,24,13,26.2348
565,2019,4,24,14,25.951
566,2019,4,24,15,26.0583
567,2019,4,24,16,26.114
568,2019,4,24,17,25.5888
569,2019,4,24,18,24.975
570,2019,4,24,19,24.0147
571,2019,4,24,20,23.4068
572,2019,4,24,21,22.885
573,2019,4,24,22,22.7142
574,2019,4,24,23,22.5943
575,2019,4,25,0,22.686
576,2019,4,25,1,22.636
577,2019,4,25,2,22.5657
578,2019,4,25,3,22.1102
579,2019,4,25,4,22.0655
580,2019,4,25,5,22.084
581,2019,4,25,6,21.9267
582,2019,4,25,7,21.183
583,2019,4,25,8,20.8437
584,2019,4,25,9,20.3118
585,2019,4,25,10,20.2627
586,2019,4,25,11,22.1087
587,2019,4,25,12,23.6243
588,2019,4,25,13,24.816
589,2019,4,25,14,25.3343
590,2019,4,25,15,25.342
591,2019,4,25,16,25.4433
592,2019,4,25,17,25.3447
593,2019,4,25,18,24.623
594,2019,4,25,19,23.4082
595,2019,4,25,20,21.9528
596,2019,4,25,21,20.229
597,2019,4,25,22,20.2268
598,2019,4,25,23,19.5692
599,2019,4,26,0,18.5558
600,2019,4,26,1,19.0163
601,2019,4,26,2,19.2035
602,2019,4,26,3,19.2332
603,2019,4,26,4,18.7942
604,2019,4,26,5,18.3412
605,2019,4,26,6,17.676
606,2019,4,26,7,18.7618
607,2019,4,26,8,20.4233
608,2019,4,26,9,21.4267
609,2019,4,26,10,22.309
610,2019,4,26,11,23.327
611,2019,4,26,12,24.0963
612,2019,4,26,13,24.535
613,2019,4,26,14,24.8545
614,2019,4,26,15,25.3933
615,2019,4,26,16,25.4373
616,2019,4,26,17,25.1438
617,2019,4,26,18,24.6233
618,2019,4,26,19,23.2362
619,2019,4,26,20,19.3228
620,2019,4,26,21,16.9247
621,2019,4,26,22,16.073
622,2019,4,26,23,15.6922
623,2019,4,27,0,16.0555
624,2019,4,27,1,16.2387
625,2019,4,27,2,15.7577
626,2019,4,27,3,14.9315
627,2019,4,27,4,15.2797
628,2019,4,27,5,13.7442
629,2019,4,27,6,14.196
630,2019,4,27,7,17.0257
631,2019,4,27,8,19.1183
632,2019,4,27,9,21.5655
633,2019,4,27,10,23.4368
634,2019,4,27,11,25.0983
635,2019,4,27,12,25.7367
636,2019,4,27,13,26.1157
637,2019,4,27,14,26.314
638,2019,4,27,15,25.8063
639,2019,4,27,16,25.7017
640,2019,4,27,17,24.8343
641,2019,4,27,18,24.1058
642,2019,4,27,19,22.7807
643,2019,4,27,20,21.6842
644,2019,4,27,21,20.6948
645,2019,4,27,22,20.2527
646,2019,4,27,23,19.5535
647,2019,4,28,0,18.8575
648,2019,4,28,1,18.1272
649,2019,4,28,2,16.137
650,2019,4,28,3,15.7352
651,2019,4,28,4,16.7765
652,2019,4,28,5,17.7072
653,2019,4,28,6,17.8292
654,2019,4,28,7,19.759
655,2019,4,28,8,21.7318
656,2019,4,28,9,23.168
657,2019,4,28,10,23.8038
658,2019,4,28,11,24.7198
659,2019,4,28,12,25.6092
660,2019,4,28,13,26.0655
